OOdist,OHOangle,E_hartree,E_kcalmol,E_kcalmol_scaled
2.5,107.5,-152.86535282568806,-95923.00889811925,-1.2335078746978212
2.5,107.6,-152.8653682385321,-95923.0185696789,-1.2431794343391545
2.5,107.7,-152.86538365137613,-95923.02824123853,-1.252850993962653
2.5,107.8,-152.86539906422018,-95923.03791279817,-1.2625225536039864
2.5,107.9,-152.8654144770642,-95923.04758435779,-1.272194113227485
2.5,108.0,-152.86542988990826,-95923.05725591743,-1.2818656728688183
2.5,108.1,-152.86544530275228,-95923.06692747705,-1.2915372324923169
2.5,108.2,-152.86546071559633,-95923.07659903669,-1.3012087921336501
2.5,108.3,-152.86547612844035,-95923.08627059632,-1.3108803517571488
2.5,108.4,-152.86549159090907,-95923.09597329545,-1.3205830508815097
2.5,108.5,-152.8655075,-95923.10595625,-1.330566005442293
2.5,108.6,-152.8655234090909,-95923.11593920455,-1.3405489599852416
2.5,108.7,-152.86553931818182,-95923.12592215909,-1.3505319145281902
2.5,108.8,-152.86555522727272,-95923.13590511364,-1.3605148690711388
2.5,108.9,-152.86557113636363,-95923.14588806817,-1.3704978236140875
2.5,109.0,-152.86558704545456,-95923.15587102274,-1.3804807781748707
2.5,109.1,-152.86560295454547,-95923.16585397728,-1.3904637327178193
2.5,109.2,-152.86561886363637,-95923.17583693183,-1.400446687260768
2.5,109.3,-152.86563477272728,-95923.18581988636,-1.4104296418037165
2.5,109.4,-152.86565068181818,-95923.19580284091,-1.4204125963466652
2.5,109.5,-152.86566667857144,-95923.20584080358,-1.4304505590188654
2.5,109.6,-152.86568346428572,-95923.21637383928,-1.440983594729488
2.5,109.7,-152.86570025,-95923.226906875,-1.4515166304401106
2.5,109.8,-152.86571703571428,-95923.2374399107,-1.4620496661507332
2.5,109.9,-152.86573382142856,-95923.24797294642,-1.4725827018613558
2.5,110.0,-152.86575060714284,-95923.25850598213,-1.4831157375719783
2.5,110.1,-152.86576739285715,-95923.26903901786,-1.4936487733004356
2.5,110.2,-152.86578417857143,-95923.27957205358,-1.5041818090110581
2.5,110.3,-152.8658009642857,-95923.29010508928,-1.5147148447216807
2.5,110.4,-152.86581775,-95923.30063812499,-1.5252478804323033
2.5,110.5,-152.86583453571427,-95923.3111711607,-1.535780916142926
2.5,110.6,-152.86585132142855,-95923.32170419641,-1.5463139518535485
2.5,110.7,-152.8658687699115,-95923.33265311946,-1.557262874895784
2.5,110.8,-152.86588629203538,-95923.34364825221,-1.568258007641532
2.5,110.9,-152.86590381415928,-95923.35464338496,-1.57925314038728
2.5,111.0,-152.86592133628318,-95923.3656385177,-1.590248273133028
2.5,111.1,-152.86593885840708,-95923.37663365043,-1.6012434058787761
2.5,111.2,-152.86595638053097,-95923.38762878318,-1.6122385386245242
2.5,111.3,-152.86597390265487,-95923.39862391593,-1.6232336713702722
2.5,111.4,-152.86599142477877,-95923.40961904867,-1.6342288041160202
2.5,111.5,-152.86600894690264,-95923.4206141814,-1.6452239368439336
2.5,111.6,-152.86602646902654,-95923.43160931415,-1.6562190695896817
2.5,111.7,-152.86604399115043,-95923.4426044469,-1.6672142023354297
2.5,111.8,-152.86606184210527,-95923.45380592106,-1.678415676493401
2.5,111.9,-152.8660799122807,-95923.46514495614,-1.68975471157502
2.5,112.0,-152.86609798245613,-95923.47648399122,-1.701093746656639
2.5,112.1,-152.86611605263158,-95923.48782302631,-1.7124327817560925
2.5,112.2,-152.866134122807,-95923.4991620614,-1.7237718168377114
2.5,112.3,-152.86615219298244,-95923.51050109648,-1.7351108519193303
2.5,112.4,-152.8661702631579,-95923.52184013158,-1.746449887018784
2.5,112.5,-152.86618833333333,-95923.53317916667,-1.7577889221004028
2.5,112.6,-152.86620640350876,-95923.54451820174,-1.7691279571820218
2.5,112.7,-152.8662244736842,-95923.55585723685,-1.7804669922814753
2.5,112.8,-152.86624254385964,-95923.56719627192,-1.7918060273630942
2.5,112.9,-152.86626055172414,-95923.5784962069,-1.8031059623351808
2.5,113.0,-152.86627831034482,-95923.58963974137,-1.8142494968156342
2.5,113.1,-152.8662960689655,-95923.60078327586,-1.8253930312960875
2.5,113.2,-152.8663138275862,-95923.61192681034,-1.836536565776541
2.5,113.3,-152.86633158620688,-95923.62307034482,-1.8476801002569943
2.5,113.4,-152.8663493448276,-95923.63421387931,-1.8588236347552822
2.5,113.5,-152.86636710344828,-95923.6453574138,-1.8699671692357356
2.5,113.6,-152.86638486206897,-95923.65650094827,-1.881110703716189
2.5,113.7,-152.86640262068966,-95923.66764448276,-1.8922542381966423
2.5,113.8,-152.86642037931034,-95923.67878801723,-1.9033977726770956
2.5,113.9,-152.86643813793106,-95923.68993155174,-1.9145413071753836
2.5,114.0,-152.86645589655174,-95923.70107508622,-1.925684841655837
2.5,114.1,-152.86647437931035,-95923.71267301725,-1.9372827726807174
2.5,114.2,-152.8664933448276,-95923.72457387933,-1.9491836347589953
2.5,114.3,-152.86651231034483,-95923.73647474138,-1.9610844968194385
2.5,114.4,-152.8665312758621,-95923.74837560346,-1.9729853588977164
2.5,114.5,-152.86655024137931,-95923.76027646552,-1.9848862209581597
2.5,114.6,-152.86656920689654,-95923.77217732758,-1.996787083018603
2.5,114.7,-152.8665881724138,-95923.78407818965,-2.008687945096881
2.5,114.8,-152.86660713793103,-95923.79597905172,-2.020588807157324
2.5,114.9,-152.86662610344828,-95923.8078799138,-2.032489669235602
2.5,115.0,-152.8666450689655,-95923.81978077586,-2.0443905312960453
2.5,115.1,-152.86666403448277,-95923.83168163794,-2.056291393374323
2.5,115.2,-152.866683,-95923.84358249999,-2.0681922554347665
2.5,115.3,-152.86670249152542,-95923.8558134322,-2.0804231876365975
2.5,115.4,-152.86672198305084,-95923.8680443644,-2.0926541198384285
2.5,115.5,-152.86674147457626,-95923.8802752966,-2.1048850520402596
2.5,115.6,-152.8667609661017,-95923.89250622882,-2.117115984259925
2.5,115.7,-152.86678045762713,-95923.90473716102,-2.1293469164617562
2.5,115.8,-152.86679994915255,-95923.91696809322,-2.1415778486635872
2.5,115.9,-152.86681944067797,-95923.92919902543,-2.1538087808654183
2.5,116.0,-152.8668389322034,-95923.94142995763,-2.1660397130672493
2.5,116.1,-152.86685842372881,-95923.95366088983,-2.1782706452690803
2.5,116.2,-152.86687791525424,-95923.96589182204,-2.1905015774709113
2.5,116.3,-152.86689740677966,-95923.97812275424,-2.2027325096727424
2.5,116.4,-152.86691721666668,-95923.99055345834,-2.2151632137786947
